Depth [cm],>1mm [%],1mm -100um [%],CUM_1-100,100um - 63um [%],CUM_100-63,<63um [%],CUM_<63,U >1mm [%],U 1mm -100um [%],U 100um - 63um [%],U  <63um [%]
32,0.1,2.5,2.6,7.4,10.0,90.0,100.0,0.00,0.04,0.03,0.13
75,0.2,0.8,0.9,1.8,2.7,97.3,100.0,0.00,0.01,0.03,0.64
125,0.7,0.8,1.5,2.2,3.7,96.3,100.0,0.00,0.01,0.02,0.37
275,4.3,1.6,5.8,2.4,8.3,91.8,100.0,0.00,0.01,0.02,0.37
310,0.6,1.3,1.9,3.4,5.3,94.7,100.0,0.00,0.01,0.03,0.28
375,2.7,3.1,5.7,2.0,7.7,92.3,100.0,0.00,0.01,0.01,0.48
405,0.7,1.2,1.8,0.9,2.7,97.3,100.0,0.01,0.02,0.01,1.22
435,10.1,7.3,17.3,1.6,18.9,81.1,100.0,0.01,0.01,0.01,0.41
480,2.2,4.3,6.5,2.2,8.7,91.3,100.0,0.00,0.01,0.01,0.48
510,1.2,,,,,,,0.00,,,
