,Size,Depth,Non IRD (organic),Other,Coal,Crystalline,Sedimentary,Other%,Coal%,Crystalline%,Sedimentary%,Comments,No. of squares,No. of splits,total IRD,V. angular,Angular,Sub-angular,Sub-rounded,Rounded,Well rounded,Weight of sample,IRD grains per gram of sample
Sample #1 (32-33 cm)  >1mm,1mm,32.5,,,,3,2,0.00,0.00,60.00,40.00,,45,1,5,,,1,4,,,0.0093,537.6344
Sample #1 (32-33 cm) 100 micron-1mm,100micron,32.5,3,,9,159,63,0.00,3.90,68.83,27.27,,6,16,231,,,,,,,0.2399,115548.1451
Sample #2 (75-76cm) >1mm,1mm,75.5,9,,,1,,0.00,0.00,100.00,0.00,,45,1,1,,,,,,,0.014,71.4286
Sample #2 (75-76cm) 100?-1mm,100micron,75.5,15,1,10,14,190,0.47,4.65,6.51,88.37,,9,8,215,,,,,,,0.0659,130500.7587
Sample #3 (125-126 cm) >1mm,1mm,125.5,5,,,7,5,0.00,0.00,58.33,41.67,,45,1,12,1,6,2,1,1,1,0.0901,133.1853
Sample #3 (125-126 cm) 100 micron-1mm,100micron,125.5,25,1,1,186,40,0.44,0.44,81.58,17.54,,6,4,228,,,,,,,0.0943,72534.4645
Sample #4 (275-276 cm)  >1mm,1mm,275.5,1,,,1,4,0.00,0.00,20.00,80.00,,45,1,5,,1,4,,,,0.4363,11.4600
Sample #4 (275-276 cm)   100 micron-1mm,100micron,275.5,19,,8,137,67,0.00,3.77,64.62,31.60,,4,8,212,,,,,,,0.1605,118878.5047
Sample #5 (310-311 cm)   >1mm,1mm,310.5,,,,2,4,0.00,0.00,33.33,66.67,,45,1,6,,,5,1,,,0.0545,110.0917
Sample #5 (310-311 cm)   100 micron-1mm,100micron,310.5,13,,4,132,87,0.00,1.79,59.19,39.01,,3,4,223,,,,,,,0.1303,102686.1090
Sample #6 375-376 cm >1mm,1mm,375.5,,,,14,15,0.00,0.00,48.28,51.72,,45,1,29,,3,15,11,,,0.2527,114.7606
Sample #6  375-376 cm  100 micron-1mm,100micron,375.5,10,,3,96,121,0.00,1.36,43.64,55.00,,4,8,220,,,,,,,0.2908,68088.0330
Sample #7 405-406 cm >1mm,1mm,405.5,35,,,4,23,0.00,0.00,14.81,85.19,,45,1,27,,4,13,9,1,,0.0631,21.0493
Sample #7 405-406 cm 100 micron-1mm,100micron,405.5,6,,2,109,87,0.00,1.01,55.05,43.94,,10,8,198,,,,,,,0.1074,7702.6151
Sample #8  435-436cm >1mm,1mm,435.5,,,,27,120,0.00,0.00,18.37,81.63,,45,1,147,,5,65,77,,,1.2827,753.4598
Sample #8  435-436cm 100?-1mm,100micron,435.5,10,,,152,50,0.00,0.00,75.25,24.75,,5,5,202,,,,,,,0.9254,23555.3252
Sample #9 (480-481 cm) >1 mm,1mm,480.5,,,,,41,0.00,0.00,0.00,100.00,,45,1,41,,5,27,9,,,0.1951,374.7715
Sample #9 (480-481 cm) 100 micron - 1 mm,100micron,480.5,6,,3,144,76,0.00,1.35,64.57,34.08,,7,16,223,,,,,,,0.3859,59438.0483
Sample #10 (510-511 cm) >1 mm,1mm,510.5,,,,2,21,0.00,0.00,8.70,91.30,,45,1,23,,8,10,5,,,0.1094,210.2377
