Sample,Depth,Type,Roundness
1,32-33,C,SR
1,32-33,C,SR
1,32-33,C,SA
1,32-33,S,SR
1,32-33,S,SR
2,75-76,C,SR
3,125-126,S,WR
3,125-126,C,SA
3,125-126,C,A
3,125-126,C,A
3,125-126,S,R
3,125-126,S,A
3,125-126,S,A
3,125-126,C,SA
3,125-126,C,A
3,125-126,C,SR
3,125-126,C,A
3,125-126,S,VA
4,275-276,S,SA
4,275-276,S,SA
4,275-276,S,SA
4,275-276,S,SA
4,275-276,C,A
5,310-311,C,SR
5,310-311,S,SA
5,310-311,C,SA
5,310-311,S,SA
5,310-311,S,SA
5,310-311,S,SA
6,375-376,C,SA
6,375-376,C,SR
6,375-376,C,SR
6,375-376,S,SA
6,375-376,S,SA
6,375-376,S,SR
6,375-376,C,SR
6,375-376,C,SR
6,375-376,C,SR
6,375-376,C,SA
6,375-376,S,SR
6,375-376,S,SA
6,375-376,S,A
6,375-376,S,SA
6,375-376,C,SA
6,375-376,S,A
6,375-376,S,SA
6,375-376,S,SR
6,375-376,S,SR
6,375-376,C,A
6,375-376,C,SA
6,375-376,C,SA
6,375-376,C,SA
6,375-376,S,SR
6,375-376,S,SR
6,375-376,S,SA
6,375-376,C,SA
6,375-376,C,SA
6,375-376,S,SA
7,405-406,S,SA
7,405-406,S,SA
7,405-406,S,A
7,405-406,S,A
7,405-406,S,SR
7,405-406,C,SA
7,405-406,S,A
7,405-406,S,SA
7,405-406,S,SR
7,405-406,C,SA
7,405-406,S,SA
7,405-406,S,SA
7,405-406,S,SR
7,405-406,S,SA
7,405-406,S,SA
7,405-406,S,SA
7,405-406,S,A
7,405-406,C,SR
7,405-406,C,SR
7,405-406,S,SA
7,405-406,S,SR
7,405-406,S,SR
7,405-406,S,SA
7,405-406,S,R
7,405-406,S,SR
7,405-406,S,SR
7,405-406,S,SA
8,435-436,C,A
8,435-437,C,A
8,435-438,C,A
8,435-439,C,A
8,435-440,C,SA
8,435-441,C,SA
8,435-442,C,SA
8,435-443,C,SA
8,435-444,C,SA
8,435-445,C,SA
8,435-446,C,SA
8,435-447,C,SR
8,435-448,C,SR
8,435-449,C,SR
8,435-450,C,SR
8,435-451,C,SR
8,435-452,C,SR
8,435-453,C,SR
8,435-454,C,SR
8,435-455,C,SR
8,435-456,C,SR
8,435-457,C,SR
8,435-458,C,SR
8,435-459,C,SR
8,435-460,C,SR
8,435-461,C,SR
8,435-462,C,SR
8,435-463,S,A
8,435-464,S,SA
8,435-465,S,SA
8,435-466,S,SA
8,435-467,S,SA
8,435-468,S,SA
8,435-469,S,SA
8,435-470,S,SA
8,435-471,S,SA
8,435-472,S,SA
8,435-473,S,SA
8,435-474,S,SA
8,435-475,S,SA
8,435-476,S,SA
8,435-477,S,SA
8,435-478,S,SA
8,435-479,S,SA
8,435-480,S,SA
8,435-481,S,SA
8,435-482,S,SA
8,435-483,S,SA
8,435-484,S,SA
8,435-485,S,SA
8,435-486,S,SA
8,435-487,S,SA
8,435-488,S,SA
8,435-489,S,SA
8,435-490,S,SA
8,435-491,S,SA
8,435-492,S,SA
8,435-493,S,SA
8,435-494,S,SA
